to smuggle,"puzram ,şabâtum"
secret transports of metals,puzram alıâzum
to enter the palace,a-şé-er É . GAL-him
the palace,É . GAL-him
to smuggle,hazzurum
to hide,ia.zdrum
smuggling,pazzurtum
secret depot,pazzurtum
to smuggle,"Waren vor dem Zoll verbergen, schmuggeln"
to enter,i-ba-at-ma
palace,É . GAL-him
to smuggle,hazzurum
to hide,ia.zdrum
smuggling,pazzurtum
secret,mu j5azzirum
"lagern"", or ""storage"", but directly extracted: (""guards",ma-şa-ra-tum

to enter the palace,i-ba-at-ma a-şé-er É . GAL-him
to enter,i-ba-at-ma
palace,É . GAL-him
to smuggle,hazzurum
to hide,ia.zdrum
smuggling,pazzurtum
palace,É . GAL-him
to smuggle,hazzurum
to hide,ia.zdrum
secret depot,pazzurtum
the guards,ma-şa-ra-tum
to smuggle,hazzurum
to hide,ia.zdrum
secret depot,pazzurtum
to enter,i-ba-at-ma
palace,É . GAL-him
the guards,ma-şa-ra-tum
smuggler,mu pazzirum 
to smuggle,hazzurum
to hide,ia.zdrum
secret depot,pazzurtum
to enter,i-ba-at-ma
palace,É . GAL-him
the guards,ma-şa-ra-tum
to smuggle,hazzurum
to hide,ia.zdrum
to smuggle,hazzurum
smuggler,mu pazzirum
smuggling,pa-zu-ur-tim
goods,ku-ta-ni
native,nu-wa-im
tin,AN.NA
textiles,ti7g
palace,é-gal
gave,a-di-in
goods,"ma-ah-ri-ni"" No- moved)
gave,a-di-in
native,nu-wa-im
tin,AN.NA û-5d-zi-ra-ni
less good quality,ma-ti-û-tim
let them bring the tin to Hurrama,lu-ub-lu-ni-sou-ma
and let then either the native inhabitants of Uurrama bring all the tin in quantities of 1 talent each into the town,hu-ra-ma-i-ıı kûl` AN . NA
or let one make packets of io or 15 minas each,"2""ı-lâ ri-ik-si ro ma-na . TA"
and let the personnel (of the caravan) bring them into the town under their loin-cloths,it-ti a-l2-ki pd-nim-ma
Only after they have safely delivered I talent are they allowed to bring another I talent into the town,pa-ni-um-ma Spa i-ia-li-ma-ni
As soon as some of the tin has safely arrived in town you should send it on to me each time with the first caravan leaving,sou-té-b24-1a-nnim
...let them bring the tin to Hurrama,AN . NA a-na Iju-ra-ma
smuggling,pazzurtim
in quantities of 1 talent each into the town,GİJ . TA lu-§é-ri-bu-nim
let the personell bring them into the town under their loin-cloths,GİJ-tâm lu-sa-li-mu-nim-ma

under their loincloths,ina sunätim
make the tin enter ina pazzurtim,ina pazzurtim
